[1] TRUE
[21:43:19] Found summary chunk files: 60
[21:43:23] EDIT SR Tendulkar | ID: 35320 | test | batting | BF: NA -> 29437
[21:43:23] EDIT SR Tendulkar | ID: 35320 | test | batting | SR: NA -> 54.08
[21:43:23] EDIT SR Tendulkar | ID: 35320 | test | batting | 4s: NA -> 2058
[21:43:23] EDIT SR Tendulkar | ID: 35320 | test | batting | 6s: NA -> 69
[21:43:23] EDIT JE Root | ID: 303669 | test | batting | BF: NA -> 24534
[21:43:23] EDIT JE Root | ID: 303669 | test | batting | SR: NA -> 57.53
[21:43:23] EDIT JE Root | ID: 303669 | test | batting | 4s: NA -> 1515
[21:43:23] EDIT JE Root | ID: 303669 | test | batting | 6s: NA -> 46
[21:43:23] EDIT RT Ponting | ID: 7133 | test | batting | BF: NA -> 22782
[21:43:23] EDIT RT Ponting | ID: 7133 | test | batting | SR: NA -> 58.72
[21:43:23] EDIT RT Ponting | ID: 7133 | test | batting | 4s: NA -> 1509
[21:43:23] EDIT RT Ponting | ID: 7133 | test | batting | 6s: NA -> 73
[21:43:23] EDIT JH Kallis | ID: 45789 | test | batting | BF: NA -> 28903
[21:43:23] EDIT JH Kallis | ID: 45789 | test | batting | SR: NA -> 45.98
[21:43:23] EDIT JH Kallis | ID: 45789 | test | batting | 4s: NA -> 1488
[21:43:23] EDIT JH Kallis | ID: 45789 | test | batting | 6s: NA -> 97
[21:43:23] EDIT R Dravid | ID: 28114 | test | batting | BF: NA -> 31258
[21:43:23] EDIT R Dravid | ID: 28114 | test | batting | SR: NA -> 42.51
[21:43:23] EDIT R Dravid | ID: 28114 | test | batting | 4s: NA -> 1654
[21:43:23] EDIT R Dravid | ID: 28114 | test | batting | 6s: NA -> 21
[21:43:23] EDIT AN Cook | ID: 11728 | test | batting | BF: NA -> 26562
[21:43:23] EDIT AN Cook | ID: 11728 | test | batting | SR: NA -> 46.95
[21:43:23] EDIT AN Cook | ID: 11728 | test | batting | 4s: NA -> 1442
[21:43:23] EDIT AN Cook | ID: 11728 | test | batting | 6s: NA -> 11
[21:43:23] EDIT KC Sangakkara | ID: 50710 | test | batting | BF: NA -> 22882
[21:43:23] EDIT KC Sangakkara | ID: 50710 | test | batting | SR: NA -> 54.19
[21:43:23] EDIT KC Sangakkara | ID: 50710 | test | batting | 4s: NA -> 1491
[21:43:23] EDIT KC Sangakkara | ID: 50710 | test | batting | 6s: NA -> 51
[21:43:23] EDIT BC Lara | ID: 52337 | test | batting | BF: NA -> 19753
[21:43:23] EDIT BC Lara | ID: 52337 | test | batting | SR: NA -> 60.51
[21:43:23] EDIT BC Lara | ID: 52337 | test | batting | 4s: NA -> 1559
[21:43:23] EDIT BC Lara | ID: 52337 | test | batting | 6s: NA -> 88
[21:43:23] EDIT S Chanderpaul | ID: 51469 | test | batting | BF: NA -> 27395
[21:43:23] EDIT S Chanderpaul | ID: 51469 | test | batting | SR: NA -> 43.32
[21:43:23] EDIT S Chanderpaul | ID: 51469 | test | batting | 4s: NA -> 1285
[21:43:23] EDIT S Chanderpaul | ID: 51469 | test | batting | 6s: NA -> 36
[21:43:23] EDIT DPMD Jayawardene | ID: 49289 | test | batting | BF: NA -> 22959
[21:43:23] EDIT DPMD Jayawardene | ID: 49289 | test | batting | SR: NA -> 51.46
[21:43:23] EDIT DPMD Jayawardene | ID: 49289 | test | batting | 4s: NA -> 1387
[21:43:23] EDIT DPMD Jayawardene | ID: 49289 | test | batting | 6s: NA -> 61
[21:43:23] EDIT AR Border | ID: 4174 | test | batting | BF: NA -> 27002
[21:43:23] EDIT AR Border | ID: 4174 | test | batting | SR: NA -> 41.38
[21:43:23] EDIT AR Border | ID: 4174 | test | batting | 4s: NA -> 1161
[21:43:23] EDIT AR Border | ID: 4174 | test | batting | 6s: NA -> 28
[21:43:23] EDIT SR Waugh | ID: 8192 | test | batting | BF: NA -> 22461
[21:43:23] EDIT SR Waugh | ID: 8192 | test | batting | SR: NA -> 48.65
[21:43:23] EDIT SR Waugh | ID: 8192 | test | batting | 4s: NA -> 1175
[21:43:23] EDIT SR Waugh | ID: 8192 | test | batting | 6s: NA -> 20
[21:43:23] EDIT SPD Smith | ID: 267192 | test | batting | BF: NA -> 19966
[21:43:23] EDIT SPD Smith | ID: 267192 | test | batting | SR: NA -> 53.91
[21:43:23] EDIT SPD Smith | ID: 267192 | test | batting | 4s: NA -> 1172
[21:43:23] EDIT SPD Smith | ID: 267192 | test | batting | 6s: NA -> 67
[21:43:23] EDIT SM Gavaskar | ID: 28794 | test | batting | BF: NA -> 15327
[21:43:23] EDIT SM Gavaskar | ID: 28794 | test | batting | SR: NA -> 66.04
[21:43:23] EDIT SM Gavaskar | ID: 28794 | test | batting | 4s: NA -> 1016
[21:43:23] EDIT SM Gavaskar | ID: 28794 | test | batting | 6s: NA -> 26
[21:43:23] EDIT Younis Khan | ID: 43652 | test | batting | BF: NA -> 19375
[21:43:23] EDIT Younis Khan | ID: 43652 | test | batting | SR: NA -> 52.12
[21:43:23] EDIT Younis Khan | ID: 43652 | test | batting | 4s: NA -> 1082
[21:43:23] EDIT Younis Khan | ID: 43652 | test | batting | 6s: NA -> 70
[21:43:23] EDIT KS Williamson | ID: 277906 | test | batting | BF: NA -> 18306
[21:43:23] EDIT KS Williamson | ID: 277906 | test | batting | SR: NA -> 51.98
[21:43:23] EDIT KS Williamson | ID: 277906 | test | batting | 4s: NA -> 1063
[21:43:23] EDIT KS Williamson | ID: 277906 | test | batting | 6s: NA -> 28
[21:43:24] EDIT HM Amla | ID: 43906 | test | batting | BF: NA -> 18573
[21:43:24] EDIT HM Amla | ID: 43906 | test | batting | SR: NA -> 49.98
[21:43:24] EDIT HM Amla | ID: 43906 | test | batting | 4s: NA -> 1170
[21:43:24] EDIT HM Amla | ID: 43906 | test | batting | 6s: NA -> 14
[21:43:24] EDIT GC Smith | ID: 47270 | test | batting | BF: NA -> 15525
[21:43:24] EDIT GC Smith | ID: 47270 | test | batting | SR: NA -> 59.68
[21:43:24] EDIT GC Smith | ID: 47270 | test | batting | 4s: NA -> 1165
[21:43:24] EDIT GC Smith | ID: 47270 | test | batting | 6s: NA -> 24
[21:43:24] EDIT V Kohli | ID: 253802 | test | batting | BF: NA -> 16608
[21:43:24] EDIT V Kohli | ID: 253802 | test | batting | SR: NA -> 55.58
[21:43:24] EDIT V Kohli | ID: 253802 | test | batting | 4s: NA -> 1027
[21:43:24] EDIT V Kohli | ID: 253802 | test | batting | 6s: NA -> 30
[21:43:24] EDIT GA Gooch | ID: 13399 | test | batting | BF: NA -> 18075
[21:43:24] EDIT GA Gooch | ID: 13399 | test | batting | SR: NA -> 49.24
[21:43:24] EDIT GA Gooch | ID: 13399 | test | batting | 4s: NA -> 1079
[21:43:24] EDIT GA Gooch | ID: 13399 | test | batting | 6s: NA -> 25
[21:43:24] EDIT Javed Miandad | ID: 40879 | test | batting | BF: NA -> 15164
[21:43:24] EDIT Javed Miandad | ID: 40879 | test | batting | SR: NA -> 58.24
[21:43:24] EDIT Javed Miandad | ID: 40879 | test | batting | 4s: NA -> 809
[21:43:24] EDIT Javed Miandad | ID: 40879 | test | batting | 6s: NA -> 48
[21:43:24] EDIT Inzamam-ul-Haq | ID: 40570 | test | batting | BF: NA -> 16345
[21:43:24] EDIT Inzamam-ul-Haq | ID: 40570 | test | batting | SR: NA -> 54.02
[21:43:24] EDIT Inzamam-ul-Haq | ID: 40570 | test | batting | 4s: NA -> 1105
[21:43:24] EDIT Inzamam-ul-Haq | ID: 40570 | test | batting | 6s: NA -> 48
[21:43:24] EDIT DA Warner | ID: 219889 | test | batting | BF: NA -> 12517
[21:43:24] EDIT DA Warner | ID: 219889 | test | batting | SR: NA -> 70.19
[21:43:24] EDIT DA Warner | ID: 219889 | test | batting | 4s: NA -> 1036
[21:43:24] EDIT DA Warner | ID: 219889 | test | batting | 6s: NA -> 69
[21:43:24] EDIT VVS Laxman | ID: 30750 | test | batting | BF: NA -> 17785
[21:43:24] EDIT VVS Laxman | ID: 30750 | test | batting | SR: NA -> 49.37
[21:43:24] EDIT VVS Laxman | ID: 30750 | test | batting | 4s: NA -> 1135
[21:43:24] EDIT VVS Laxman | ID: 30750 | test | batting | 6s: NA -> 5
[21:43:24] EDIT AB de Villiers | ID: 44936 | test | batting | BF: NA -> 16077
[21:43:24] EDIT AB de Villiers | ID: 44936 | test | batting | SR: NA -> 54.52
[21:43:24] EDIT AB de Villiers | ID: 44936 | test | batting | 4s: NA -> 1024
[21:43:24] EDIT AB de Villiers | ID: 44936 | test | batting | 6s: NA -> 64
[21:43:24] EDIT MJ Clarke | ID: 4578 | test | batting | BF: NA -> 15456
[21:43:24] EDIT MJ Clarke | ID: 4578 | test | batting | SR: NA -> 55.92
[21:43:24] EDIT MJ Clarke | ID: 4578 | test | batting | 4s: NA -> 978
[21:43:24] EDIT MJ Clarke | ID: 4578 | test | batting | 6s: NA -> 39
[21:43:24] EDIT ML Hayden | ID: 5616 | test | batting | BF: NA -> 14349
[21:43:24] EDIT ML Hayden | ID: 5616 | test | batting | SR: NA -> 60.11
[21:43:24] EDIT ML Hayden | ID: 5616 | test | batting | 4s: NA -> 1049
[21:43:24] EDIT ML Hayden | ID: 5616 | test | batting | 6s: NA -> 82
[21:43:24] EDIT V Sehwag | ID: 35263 | test | batting | BF: NA -> 10441
[21:43:24] EDIT V Sehwag | ID: 35263 | test | batting | SR: NA -> 82.23
[21:43:24] EDIT V Sehwag | ID: 35263 | test | batting | 4s: NA -> 1233
[21:43:24] EDIT V Sehwag | ID: 35263 | test | batting | 6s: NA -> 91
[21:43:24] EDIT IVA Richards | ID: 52812 | test | batting | BF: NA -> 9922
[21:43:24] EDIT IVA Richards | ID: 52812 | test | batting | SR: NA -> 86.07
[21:43:24] EDIT IVA Richards | ID: 52812 | test | batting | 4s: NA -> 1051
[21:43:24] EDIT IVA Richards | ID: 52812 | test | batting | 6s: NA -> 84
[21:43:24] EDIT AJ Stewart | ID: 20372 | test | batting | BF: NA -> 17389
[21:43:24] EDIT AJ Stewart | ID: 20372 | test | batting | SR: NA -> 48.67
[21:43:24] EDIT AJ Stewart | ID: 20372 | test | batting | 4s: NA -> 1121
[21:43:24] EDIT AJ Stewart | ID: 20372 | test | batting | 6s: NA -> 10
[21:43:24] EDIT DI Gower | ID: 13418 | test | batting | BF: NA -> 16268
[21:43:24] EDIT DI Gower | ID: 13418 | test | batting | SR: NA -> 50.6
[21:43:24] EDIT DI Gower | ID: 13418 | test | batting | 4s: NA -> 979
[21:43:24] EDIT DI Gower | ID: 13418 | test | batting | 6s: NA -> 10
[21:43:24] EDIT AD Mathews | ID: 49764 | test | batting | BF: NA -> 16970
[21:43:24] EDIT AD Mathews | ID: 49764 | test | batting | SR: NA -> 48.4
[21:43:24] EDIT AD Mathews | ID: 49764 | test | batting | 4s: NA -> 835
[21:43:24] EDIT AD Mathews | ID: 49764 | test | batting | 6s: NA -> 90
[21:43:24] EDIT KP Pietersen | ID: 19296 | test | batting | BF: NA -> 13255
[21:43:24] EDIT KP Pietersen | ID: 19296 | test | batting | SR: NA -> 61.72
[21:43:24] EDIT KP Pietersen | ID: 19296 | test | batting | 4s: NA -> 985
[21:43:24] EDIT KP Pietersen | ID: 19296 | test | batting | 6s: NA -> 81
[21:43:24] EDIT G Boycott | ID: 9187 | test | batting | BF: NA -> 21192
[21:43:24] EDIT G Boycott | ID: 9187 | test | batting | SR: NA -> 38.29
