cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,format
35320,35320,SR Tendulkar,IND,SR Tendulkar (IND),1989-2013,200,329,33,15921,248*,53.78,NA,NA,51,68,14,NA,NA,test
303669,303669,JE Root,ENG,JE Root (ENG),2012-2026,166,304,25,14114,262,50.58,NA,NA,41,67,15,NA,NA,test
7133,7133,RT Ponting,AUS,RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,NA,NA,41,62,17,NA,NA,test
45789,45789,JH Kallis,ICC/SA,JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,NA,NA,45,58,16,NA,NA,test
28114,28114,R Dravid,ICC/IND,R Dravid (ICC/IND),1996-2012,164,286,32,13288,270,52.31,NA,NA,36,63,8,NA,NA,test
11728,11728,AN Cook,ENG,AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,NA,NA,33,57,9,NA,NA,test
50710,50710,KC Sangakkara,SL,KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.4,NA,NA,38,52,11,NA,NA,test
52337,52337,BC Lara,ICC/WI,BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,NA,NA,34,48,17,NA,NA,test
51469,51469,S Chanderpaul,WI,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,NA,NA,30,66,15,NA,NA,test
49289,49289,DPMD Jayawardene,SL,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,NA,NA,34,50,15,NA,NA,test
4174,4174,AR Border,AUS,AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,NA,NA,27,63,11,NA,NA,test
8192,8192,SR Waugh,AUS,SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,NA,NA,32,50,22,NA,NA,test
267192,267192,SPD Smith,AUS,SPD Smith (AUS),2010-2026,123,220,28,10763,239,56.05,NA,NA,37,44,11,NA,NA,test
28794,28794,SM Gavaskar,IND,SM Gavaskar (IND),1971-1987,125,214,16,10122,236*,51.12,NA,NA,34,45,12,NA,NA,test
43652,43652,Younis Khan,PAK,Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,NA,NA,34,33,19,NA,NA,test
277906,277906,KS Williamson,NZ,KS Williamson (NZ),2010-2026,110,195,19,9515,251,54.06,NA,NA,33,38,12,NA,NA,test
43906,43906,HM Amla,SA,HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,NA,NA,28,41,13,NA,NA,test
47270,47270,GC Smith,ICC/SA,GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,NA,NA,27,38,11,NA,NA,test
253802,253802,V Kohli,IND,V Kohli (IND),2011-2025,123,210,13,9230,254*,46.85,NA,NA,30,31,15,NA,NA,test
13399,13399,GA Gooch,ENG,GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,NA,NA,20,46,13,NA,NA,test
40879,40879,Javed Miandad,PAK,Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,NA,NA,23,43,6,NA,NA,test
40570,40570,Inzamam-ul-Haq,ICC/PAK,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.6,NA,NA,25,46,15,NA,NA,test
219889,219889,DA Warner,AUS,DA Warner (AUS),2011-2024,112,205,8,8786,335*,44.59,NA,NA,26,37,13,NA,NA,test
30750,30750,VVS Laxman,IND,VVS Laxman (IND),1996-2012,134,225,34,8781,281,45.97,NA,NA,17,56,14,NA,NA,test
44936,44936,AB de Villiers,SA,AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,NA,NA,22,46,8,NA,NA,test
4578,4578,MJ Clarke,AUS,MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.1,NA,NA,28,27,9,NA,NA,test
5616,5616,ML Hayden,AUS,ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,NA,NA,30,29,14,NA,NA,test
35263,35263,V Sehwag,ICC/IND,V Sehwag (ICC/IND),2001-2013,104,180,6,8586,319,49.34,NA,NA,23,32,16,NA,NA,test
52812,52812,IVA Richards,WI,IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,NA,NA,24,45,10,NA,NA,test
