cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,format
44111,44111,MV Boucher,ICC/SA,MV Boucher (ICC/SA),1997-2012,147,281,555,532,23,532,0,6 (6ct 0st),1.975,test
5390,5390,AC Gilchrist,AUS,AC Gilchrist (AUS),1999-2008,96,191,416,379,37,379,0,5 (5ct 0st),2.178,test
5628,5628,IA Healy,AUS,IA Healy (AUS),1988-1999,119,224,395,366,29,366,0,6 (6ct 0st),1.763,test
6502,6502,RW Marsh,AUS,RW Marsh (AUS),1970-1984,96,182,355,343,12,343,0,6 (6ct 0st),1.95,test
28081,28081,MS Dhoni,IND,MS Dhoni (IND),2005-2014,90,166,294,256,38,256,0,6 (6ct 0st),1.771,test
20372,20372,AJ Stewart,ENG,AJ Stewart (ENG),1990-2003,133,231,277,263,14,227,36,6 (6ct 0st),1.199,test
38924,38924,BJ Watling,NZ,BJ Watling (NZ),2009-2021,75,143,275,267,8,257,10,6 (6ct 0st),1.923,test
51657,51657,PJL Dujon,WI,PJL Dujon (WI),1981-1991,81,154,272,267,5,265,2,5 (5ct 0st),1.766,test
5560,5560,BJ Haddin,AUS,BJ Haddin (AUS),2008-2015,66,128,270,262,8,262,0,6 (6ct 0st),2.109,test
15917,15917,APE Knott,ENG,APE Knott (ENG),1967-1981,95,174,269,250,19,250,0,5 (4ct 1st),1.545,test
297433,297433,JM Bairstow,ENG,JM Bairstow (ENG),2012-2024,100,188,256,242,14,209,33,6 (6ct 0st),1.361,test
18675,18675,MJ Prior,ENG,MJ Prior (ENG),2007-2014,79,146,256,243,13,243,0,6 (6ct 0st),1.753,test
379143,379143,Q de Kock,SA,Q de Kock (SA),2014-2021,54,101,232,221,11,221,0,6 (6ct 0st),2.297,test
43549,43549,Wasim Bari,PAK,Wasim Bari (PAK),1967-1984,81,146,228,201,27,201,0,7 (7ct 0st),1.561,test
44936,44936,AB de Villiers,SA,AB de Villiers (SA),2004-2018,114,217,227,222,5,101,121,6 (6ct 0st),1.046,test
12543,12543,TG Evans,ENG,TG Evans (ENG),1946-1959,91,175,219,173,46,173,0,4 (4ct 0st),1.251,test
52199,52199,RD Jacobs,WI,RD Jacobs (WI),1998-2004,65,122,219,207,12,207,0,7 (7ct 0st),1.795,test
303669,303669,JE Root,ENG,JE Root (ENG),2012-2026,166,317,218,218,0,0,218,4 (4ct 0st),0.687,test
52917,52917,D Ramdin,WI,D Ramdin (WI),2005-2016,74,131,217,205,12,205,0,5 (5ct 0st),1.656,test
