unique_player_id,format,HasBattingDetail,DetailBallsFaced,DetailFours,DetailSixes
1000791,odi,TRUE,30,0,0
1005257,odi,TRUE,815,47,7
1005369,odi,TRUE,11,2,0
1012137,odi,TRUE,11,0,0
1015399,odi,TRUE,15,1,0
1015399,test,TRUE,18,0,1
1027779,odi,TRUE,566,50,3
1027781,odi,TRUE,62,1,1
1027781,test,TRUE,227,15,1
1028655,odi,TRUE,3366,376,37
1028655,test,TRUE,2311,150,5
1028665,odi,TRUE,12,1,0
1028665,test,TRUE,32,1,0
1036191,odi,TRUE,1831,93,26
1036197,odi,TRUE,80,2,0
1036209,odi,TRUE,55,3,0
1037845,test,TRUE,123,6,0
1038205,odi,TRUE,22,0,0
1038205,test,TRUE,112,1,0
1039481,odi,TRUE,76,16,2
1039481,test,TRUE,774,53,13
1041679,odi,TRUE,640,30,5
1043681,odi,TRUE,6,1,0
1045883,odi,TRUE,380,28,0
1045883,test,TRUE,31,1,0
1050545,odi,TRUE,70,4,3
1057456,odi,TRUE,447,25,2
1057762,odi,TRUE,19,0,0
10582,odi,TRUE,3462,204,34
10582,test,TRUE,1087,71,2
1058498,odi,TRUE,43,1,0
1058508,odi,TRUE,14,0,0
1058510,odi,TRUE,466,43,12
1058514,odi,TRUE,2516,226,23
1058938,odi,TRUE,219,14,4
1058987,odi,TRUE,333,11,0
1058988,odi,TRUE,73,4,0
1058989,odi,TRUE,668,35,4
1058990,odi,TRUE,18,1,0
1059030,odi,TRUE,186,16,1
1059030,test,TRUE,237,10,0
1059122,odi,TRUE,33,4,0
1059122,test,TRUE,233,8,3
1060380,odi,TRUE,254,28,2
1061090,odi,TRUE,272,15,3
1061090,test,TRUE,53,3,0
1061467,odi,TRUE,222,18,8
10617,odi,TRUE,709,35,10
10617,test,TRUE,5607,438,55
1062334,odi,TRUE,268,14,3
1062706,odi,TRUE,166,16,6
1062812,test,TRUE,459,31,10
10633,odi,TRUE,395,19,3
10633,test,TRUE,2506,102,7
1063728,odi,TRUE,3,0,0
10643,test,TRUE,42,0,0
1064812,odi,TRUE,25,0,0
10653,odi,TRUE,479,23,4
10653,test,TRUE,1231,34,1
10656,odi,TRUE,180,14,0
10656,test,TRUE,835,54,1
10666,test,TRUE,0,0,0
10668,test,TRUE,0,0,0
10669,test,TRUE,0,0,0
10679,test,TRUE,11,3,0
1069820,odi,TRUE,61,1,0
1070168,odi,TRUE,166,32,2
1070168,test,TRUE,394,48,2
1070173,odi,TRUE,3158,367,67
1070173,test,TRUE,4800,333,47
1070229,odi,TRUE,32,3,0
1070229,test,TRUE,379,25,3
10705,test,TRUE,970,73,12
1070665,odi,TRUE,160,10,20
1070665,test,TRUE,144,13,6
10712,odi,TRUE,7,1,1
10713,test,TRUE,79,3,0
1071473,odi,TRUE,1460,86,23
1071484,odi,TRUE,362,41,5
1071484,test,TRUE,779,79,5
1071504,odi,TRUE,528,53,14
10716,test,TRUE,0,0,0
10721,test,TRUE,41,0,0
1072470,odi,TRUE,392,28,13
1072470,test,TRUE,628,34,5
1072472,odi,TRUE,3,2,0
1072472,test,TRUE,17,3,0
1072482,odi,TRUE,24,2,0
1072485,odi,TRUE,116,6,2
1072487,odi,TRUE,1521,100,7
1072488,odi,TRUE,2968,161,42
10727,test,TRUE,0,0,0
1073106,odi,TRUE,94,6,1
10739,test,TRUE,30,0,0
1074333,odi,TRUE,132,12,0
10745,test,FALSE,NA,NA,NA
10754,odi,TRUE,50,7,1
10754,test,TRUE,1703,88,4
1075863,odi,TRUE,171,20,2
10763,test,TRUE,26,1,0
1076376,odi,TRUE,4,0,0
1076713,odi,TRUE,1134,71,26
1076713,test,TRUE,3512,196,14
1076722,odi,TRUE,33,0,0
10772,odi,TRUE,6614,365,74
10772,test,TRUE,9170,470,24
1077307,odi,TRUE,144,9,8
1077309,odi,TRUE,49,1,0
1077310,odi,TRUE,351,26,22
10777,test,TRUE,2745,440,3
1078692,odi,TRUE,525,46,9
1078692,test,TRUE,1492,91,4
1078695,test,TRUE,897,40,4
10792,test,TRUE,0,0,0
10793,odi,TRUE,261,6,0
10793,test,TRUE,529,20,0
1079434,odi,TRUE,13,2,0
10797,odi,FALSE,NA,NA,NA
10797,test,TRUE,759,16,0
10809,odi,TRUE,1,0,0
10809,test,TRUE,184,1,0
10812,test,TRUE,0,0,0
10816,odi,TRUE,271,13,1
10816,test,TRUE,2092,111,4
10817,test,TRUE,0,0,1
10824,test,TRUE,88,1,0
10836,test,TRUE,5,2,0
10839,odi,TRUE,29,0,0
10839,test,TRUE,377,25,3
10843,odi,TRUE,46,5,1
10843,test,TRUE,280,9,2
10846,odi,TRUE,5,0,0
10846,test,TRUE,6324,753,13
10850,test,TRUE,2,0,0
10861,test,TRUE,0,0,0
10862,test,TRUE,2,0,0
1086206,odi,FALSE,NA,NA,NA
1086206,test,TRUE,66,3,0
10864,test,TRUE,19,6,1
10866,test,TRUE,1,50,1
10870,odi,TRUE,408,14,1
10870,test,TRUE,4589,187,3
10881,odi,TRUE,519,23,2
10881,test,TRUE,1160,50,2
10897,test,TRUE,517,20,0
10900,test,TRUE,0,0,0
1090591,odi,TRUE,10,0,0
1093091,odi,TRUE,572,36,3
1094444,test,TRUE,225,12,0
1096092,odi,TRUE,349,52,10
1096092,test,TRUE,1881,152,31
1096833,odi,TRUE,59,3,0
1099225,odi,TRUE,1,0,0
1099225,test,TRUE,41,0,0
1099379,odi,TRUE,246,20,6
1104697,odi,TRUE,18,1,0
1104703,odi,TRUE,128,2,2
1108375,odi,FALSE,NA,NA,NA
1108490,test,TRUE,4,0,0
1111123,odi,TRUE,6,0,0
