cricinfo_id,input_name,final_full_name,final_display_name,final_first_name,final_last_name,final_country_name,final_date_of_birth,final_date_of_death,final_player_status,status_source,last_played_year,last_played_year_t20s,last_played_year_international,final_batting_style_raw,standard_batting_code,standard_batting_style,final_bowling_style_raw,standard_bowling_code,standard_bowling_style,final_playing_role_raw,playing_role_id,playing_role,bio_error,bio_needs_retry,bio_quality,t20s_bat_matches,t20s_bat_innings,t20s_bat_not_outs,t20s_bat_runs,t20s_bat_high_score,t20s_bat_avg,t20s_bat_balls_faced,t20s_bat_sr,t20s_bat_100s,t20s_bat_50s,t20s_bat_ducks,t20s_bat_4s,t20s_bat_6s,t20s_bowl_matches,t20s_bowl_innings,t20s_bowl_balls,t20s_bowl_overs,t20s_bowl_balls_derived,t20s_bowl_maidens,t20s_bowl_runs,t20s_bowl_wkts,t20s_bowl_bbi,t20s_bowl_bbm,t20s_bowl_avg,t20s_bowl_econ,t20s_bowl_sr,t20s_bowl_4w,t20s_bowl_5w,t20s_bowl_10w,t20s_field_catches,t20s_field_stumpings,t20s_field_dismissals,t20s_field_dismissals_derived,t20s_batting_error,t20s_bowling_error,t20s_fielding_error,playing_role_fill_source,bowling_style_fill_source,game_player_status,game_status_source,batting_style_needs_manual_review,bowling_style_needs_manual_review,bio_retry_result,bio_fill_source
1326798,AM Ghazanfar,AM Ghazanfar,AM Ghazanfar,AM,Ghazanfar,Afghanistan,2006-03-20,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,"Right-arm offbreak, Legbreak",OB,Right Arm Off Break,Bowler,BWL,Bowler,,false,good,78,27,6,102,28,4.85,112,91.07,0,0,9,4,10,78,77,,280.4,1684,9,2036,97,4/12,,20.98,7.25,17.3,2,0,,10,0,,10,,,,source,source,active,stats_recent_match,false,false,,
1304665,Abdollah Ahmadzai,Abdollah Ahmadzai,Abdollah Ahmadzai,Abdollah,Ahmadzai,Afghanistan,2003-06-26,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,Right-arm medium-fast,RMF,Right Arm Medium Fast,Bowler,BWL,Bowler,,false,good,33,12,6,19,6*,3.16,28,67.85,0,0,4,1,1,33,33,,112.2,674,3,917,45,4/7,,20.37,8.16,14.9,3,0,,9,0,,9,,,,source,source,active,stats_recent_match,false,false,,
1059030,Abdul Malik (1),Abdul Malik,Abdul Malik,Abdul,Malik,Afghanistan,1998-08-24,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,Right-arm offbreak,OB,Right Arm Off Break,Opening batter,OP,Opener,,false,good,22,21,2,447,73,23.52,362,123.48,0,3,1,38,17,22,5,,9.0,54,0,65,0,-,,-,7.22,-,0,0,,9,0,,9,,,,source,source,active,stats_recent_match,false,false,,
819507,Abdul Rahman,Abdul Rahman Rahmani,Abdul Rahman Rahmani,Abdul,Rahman,Afghanistan,2001-11-22,,active,stats_recent_match,2025,2025,2023,Right-hand bat,RHB,Right Hand Bat,Right-arm fast-medium,RFM,Right Arm Fast Medium,Bowler,BWL,Bowler,,false,good,32,18,7,119,31*,10.81,93,127.95,0,0,3,6,9,32,32,,111.3,669,0,935,36,4/21,,25.97,8.38,18.5,1,0,,12,0,,12,,,,source,source,active,stats_recent_match,false,false,,
974173,Abdul Wasi,Abdul Wasi Noori,Abdul Wasi Noori,Abdul,Wasi,Afghanistan,2002-06-07,,unknown,stats_last_played_uncertain,2022,2022,2021,Right-hand bat,RHB,Right Hand Bat,Legbreak,LB,Leg Break,Allrounder,AR,Allrounder,,false,good,12,11,5,139,36*,23.16,173,80.34,0,0,1,8,2,12,12,,38.4,232,1,307,16,4/13,,19.18,7.93,14.5,1,0,,0,0,,0,,,,source,source,retired,unknown_old_last_played_game_rule,false,false,,
390752,Abdullah Mazari,Abdullah Mazari,Abdullah Mazari,Abdullah,Mazari,Afghanistan,1987-01-01,,retired,stats_last_played_old,2020,2020,2010,Left-hand bat,LHB,Left Hand Bat,Slow left-arm orthodox,SLA,Slow Left Arm Orthodox,Bowler,BWL,Bowler,,false,good,13,2,1,11,11*,11,4,275,0,0,1,1,1,13,13,,43.5,263,0,372,13,4/26,,28.61,8.48,20.2,1,0,,3,0,,3,,,,source,source,retired,stats_last_played_old,false,false,,
420402,Afsar Zazai,Afsar Khan Zazai,Afsar Khan Zazai,Afsar,Zazai,Afghanistan,1993-10-08,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,NOBOWL,Non-bowler,Wicketkeeper batter,WKBT,Wicketkeeper batter,,false,good,66,63,17,1252,78*,27.21,1198,104.5,0,6,5,96,35,66,-,,-,,-,-,-,-,,-,-,-,-,-,,37,18,,55,,,,source,inferred_non_bowler,active,stats_recent_match,false,false,,
440963,Aftab Alam,Aftab Alam,Aftab Alam,Aftab,Alam,Afghanistan,1992-11-30,,active,stats_recent_match,2025,2025,2019,Right-hand bat,RHB,Right Hand Bat,Right-arm medium-fast,RMF,Right Arm Medium Fast,Bowler,BWL,Bowler,,false,good,68,31,14,155,32*,9.11,138,112.31,0,0,6,13,7,68,67,,230.0,1380,3,1893,80,4/22,,23.66,8.23,17.2,3,0,,18,0,,18,,,,source,source,active,stats_recent_match,false,false,,
318337,Ahmed Shah,Ahmed Shah Ahmedzi,Ahmed Shah Ahmedzi,Ahmed,Shah,Afghanistan,1983-10-20,,retired,stats_last_played_old,2009,,2009,Left-hand bat,LHB,Left Hand Bat,Slow left-arm orthodox,SLA,Slow Left Arm Orthodox,Opening batter,OP,Opener,,false,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,source,retired,stats_last_played_old,false,false,,
402245,Amir Hamza,Amir Hamza Hotak,Amir Hamza Hotak,Amir,Hamza,Afghanistan,1991-08-15,,active,stats_recent_match,2025,2025,2023,Right-hand bat,RHB,Right Hand Bat,Slow left-arm orthodox,SLA,Slow Left Arm Orthodox,Bowling allrounder,BWAR,Bowling allrounder,,false,good,91,37,21,154,21,9.62,172,89.53,0,0,8,8,5,91,91,,317.2,1904,8,2075,86,3/18,,24.12,6.53,22.1,0,0,,11,0,,11,,,,source,source,active,stats_recent_match,false,false,,
