cricinfo_id,input_name,final_full_name,final_display_name,final_first_name,final_last_name,final_country_name,final_date_of_birth,final_date_of_death,final_player_status,status_source,last_played_year,last_played_year_t20s,last_played_year_international,final_batting_style_raw,standard_batting_code,standard_batting_style,final_bowling_style_raw,standard_bowling_code,standard_bowling_style,final_playing_role_raw,playing_role_id,playing_role,bio_error,bio_needs_retry,bio_quality,t20s_bat_matches,t20s_bat_innings,t20s_bat_not_outs,t20s_bat_runs,t20s_bat_high_score,t20s_bat_avg,t20s_bat_balls_faced,t20s_bat_sr,t20s_bat_100s,t20s_bat_50s,t20s_bat_ducks,t20s_bat_4s,t20s_bat_6s,t20s_bowl_matches,t20s_bowl_innings,t20s_bowl_balls,t20s_bowl_overs,t20s_bowl_balls_derived,t20s_bowl_maidens,t20s_bowl_runs,t20s_bowl_wkts,t20s_bowl_bbi,t20s_bowl_bbm,t20s_bowl_avg,t20s_bowl_econ,t20s_bowl_sr,t20s_bowl_4w,t20s_bowl_5w,t20s_bowl_10w,t20s_field_catches,t20s_field_stumpings,t20s_field_dismissals,t20s_field_dismissals_derived,t20s_batting_error,t20s_bowling_error,t20s_fielding_error,playing_role_fill_source,bowling_style_fill_source,game_player_status,game_status_source,batting_style_needs_manual_review,bowling_style_needs_manual_review,bio_retry_result,bio_fill_source
1364157,Wafiullah Tarakhil,Wafiullah Tarakhil,Wafiullah Tarakhil,Wafiullah,Tarakhil,Afghanistan,2007-03-31,,active,stats_recent_match,2026,2026,2025,Right-hand bat,RHB,Right Hand Bat,,,,Batter,BAT,Batter,,false,good,37,37,5,831,78*,25.96,578,143.77,0,5,6,78,48,37,3,,5.0,30,0,36,1,1/23,,36,7.2,30,0,0,,16,0,,16,,,,source,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_0,
1076538,Franz Bur,Franz Bur,Franz Bur,Franz,Bur,Argentina,,,active,stats_recent_match,2026,,2026,,,,,,,UKN,UKN,Unknown,,true,partial,4,1,1,2,2*,-,7,28.57,0,0,0,0,0,4,2,,3.0,18,0,25,1,1/16,,25,8.33,18,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,active,stats_recent_match,true,true,success_filled_1,cricinfo_bio_retry
1403059,S Duggan,Santiago Duggan,Santiago Duggan,Santiago,Duggan,Argentina,1995-11-28,,active,stats_recent_match,2024,,2024,,,,,,,UKN,BWL,Bowler,,true,partial,7,1,1,1,1*,-,3,33.33,0,0,0,0,0,7,7,,20.0,120,0,102,5,1/10,,20.4,5.1,24,0,0,,1,0,,1,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,true,true,success_filled_1,cricinfo_bio_retry
1463089,S Kruger,Steven Kruger,Steven Kruger,Steven,Kruger,Argentina,,,active,stats_recent_match,2024,,2024,,,,,NOBOWL,Non-bowler,UKN,UKN,Unknown,,true,partial,1,1,0,0,0,0,3,0,0,0,1,0,0,1,1,,4.0,24,0,25,0,-,,-,6.25,-,0,0,,0,0,,0,,,,unknown_not_enough_data,inferred_non_bowler,active,stats_recent_match,true,false,success_filled_1,cricinfo_bio_retry
469212,A Randhawa,Armaan Randhawa,Armaan Randhawa,Armaan,Randhawa,Austria,1995-01-03,,active,stats_recent_match,2026,2026,2026,,,,,NOBOWL,Non-bowler,UKN,BAT,Batter,,true,partial,44,39,9,613,78*,20.43,632,96.99,0,3,1,44,15,44,-,,-,,-,-,-,-,,-,-,-,-,-,,17,0,,17,,,,t20_stats_inferred,inferred_non_bowler,active,stats_recent_match,true,false,success_filled_1,cricinfo_bio_retry
1101785,D Eckstein,Daniel Eckstein,Daniel Eckstein,Daniel,Eckstein,Austria,1976-07-20,,active,stats_recent_match,2023,,2023,,,,,NOBOWL,Non-bowler,UKN,UKN,Unknown,,true,partial,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,,-,-,-,-,,-,-,-,-,-,,1,0,,1,,,,unknown_not_enough_data,inferred_non_bowler,active,stats_recent_match,true,false,success_filled_1,cricinfo_bio_retry
1287095,E Haven,Everette Haven,Everette Haven,Everette,Haven,Bahamas,1975-01-01,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,Middle-order batter,MBT,Middle-order batter,,false,good,15,7,1,23,6,3.83,80,28.75,0,0,1,1,0,15,2,,5.0,30,0,26,4,3/12,,6.5,5.2,7.5,0,0,,4,1,,5,,,,source,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_0,
252862,GT Taylor,Gregory Tyrone Taylor,Gregory Tyrone Taylor,Gregory,Taylor,Bahamas,1987-12-14,,active,stats_recent_match,2026,2026,2026,Left-hand bat,LHB,Left Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,30,30,3,344,56*,12.74,446,77.13,0,1,4,31,13,30,19,,53.5,323,0,402,16,3/27,,25.12,7.46,20.1,0,0,,10,1,,11,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
252850,JR Barry,Jonathan Renaldo Barry,Jonathan Renaldo Barry,Jonathan,Barry,Bahamas,1988-06-20,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,Right-arm bowler,,,Batting allrounder,BTAR,Batting allrounder,,false,good,20,17,4,199,30*,15.3,306,65.03,0,0,2,16,1,20,14,,35.1,211,2,298,10,3/20,,29.8,8.47,21.1,0,0,,4,0,,4,,,,source,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_0,
499954,K Burrows,Keith Burrows,Keith Burrows,Keith,Burrows,Bahamas,1995-01-02,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,9,3,1,12,8*,6,12,100,0,0,1,0,1,9,1,,2.0,12,0,22,3,3/22,,7.33,11,4,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
