unique_player_id,format,HasBowlingDetail,DetailBalls,DetailMaidens,DetailRunsConceded,DetailOvers
1000791,odi,TRUE,743,9,523,123.5
1005257,odi,TRUE,1519,19,1011,253.1
1005369,odi,TRUE,186,0,155,31.0
1012137,odi,TRUE,48,0,64,8.0
1015399,odi,TRUE,48,0,60,8.0
1015399,test,TRUE,336,6,188,56.0
1027779,odi,TRUE,180,0,135,30.0
1027781,odi,TRUE,402,3,400,67.0
1027781,test,TRUE,2191,79,1201,365.1
1028655,odi,FALSE,NA,NA,NA,NA
1028655,test,FALSE,NA,NA,NA,NA
1028665,odi,TRUE,198,0,177,33.0
1028665,test,TRUE,1320,50,642,220.0
1036191,odi,TRUE,1473,4,1458,245.3
1036197,odi,TRUE,279,0,326,46.3
1036209,odi,FALSE,NA,NA,NA,NA
1037845,test,FALSE,NA,NA,NA,NA
1038205,odi,TRUE,278,7,290,46.2
1038205,test,TRUE,414,2,354,69.0
1039481,odi,TRUE,472,0,527,78.4
1039481,test,TRUE,3055,96,1839,509.1
1041679,odi,TRUE,3101,19,2174,516.5
1043681,odi,TRUE,37,1,26,6.1
1045883,odi,FALSE,NA,NA,NA,NA
1045883,test,FALSE,NA,NA,NA,NA
1050545,odi,TRUE,385,4,299,64.1
1057456,odi,TRUE,246,0,264,41.0
1057762,odi,TRUE,263,3,182,43.5
10582,odi,TRUE,1860,11,1523,310.0
10582,test,TRUE,434,10,290,72.2
1058498,odi,TRUE,349,1,323,58.1
1058508,odi,TRUE,66,2,51,11.0
1058510,odi,FALSE,NA,NA,NA,NA
1058514,odi,FALSE,NA,NA,NA,NA
1058938,odi,TRUE,111,0,136,18.3
1058987,odi,TRUE,1208,6,1114,201.2
1058988,odi,FALSE,NA,NA,NA,NA
1058989,odi,TRUE,318,4,280,53.0
1058990,odi,FALSE,NA,NA,NA,NA
1059030,odi,FALSE,NA,NA,NA,NA
1059030,test,TRUE,96,1,88,16.0
1059122,odi,TRUE,301,0,295,50.1
1059122,test,TRUE,888,14,700,148.0
1060380,odi,FALSE,NA,NA,NA,NA
1061090,odi,FALSE,NA,NA,NA,NA
1061090,test,FALSE,NA,NA,NA,NA
1061467,odi,TRUE,1042,6,884,173.4
10617,odi,TRUE,6109,56,5364,1018.1
10617,test,TRUE,33698,1304,16719,5616.2
1062334,odi,TRUE,90,0,83,15.0
1062706,odi,TRUE,180,2,141,30.0
1062812,test,TRUE,3680,80,2102,613.2
10633,odi,TRUE,2937,66,1965,489.3
10633,test,TRUE,13558,501,6999,2259.4
1063728,odi,TRUE,6,0,18,1.0
10643,test,TRUE,204,8,91,34.0
1064812,odi,TRUE,60,0,54,10.0
10653,odi,TRUE,1038,12,805,173.0
10653,test,TRUE,2000,52,1064,333.2
10656,odi,TRUE,6,0,12,1.0
10656,test,FALSE,NA,NA,NA,NA
10666,test,FALSE,NA,NA,NA,NA
10668,test,TRUE,210,6,140,35.0
10669,test,TRUE,414,3,282,69.0
10679,test,TRUE,1611,97,544,268.3
1069820,odi,TRUE,858,8,877,143.0
1070168,odi,FALSE,NA,NA,NA,NA
1070168,test,FALSE,NA,NA,NA,NA
1070173,odi,TRUE,18,0,25,3.0
1070173,test,TRUE,7,0,1,1.1
1070229,odi,TRUE,66,0,64,11.0
1070229,test,TRUE,904,24,517,150.4
10705,test,TRUE,30,1,20,5.0
1070665,odi,TRUE,24,0,28,4.0
1070665,test,TRUE,26,0,22,4.2
10712,odi,TRUE,24,0,14,4.0
10713,test,FALSE,NA,NA,NA,NA
1071473,odi,TRUE,813,6,715,135.3
1071484,odi,TRUE,20,0,34,3.2
1071484,test,TRUE,528,4,335,88.0
1071504,odi,TRUE,450,2,355,75.0
10716,test,FALSE,NA,NA,NA,NA
10721,test,TRUE,516,29,183,86.0
1072470,odi,TRUE,3859,32,3578,643.1
1072470,test,TRUE,6684,221,3545,1114.0
1072472,odi,TRUE,97,1,101,16.1
1072472,test,TRUE,120,1,114,20.0
1072482,odi,TRUE,114,0,109,19.0
1072485,odi,TRUE,322,3,251,53.4
1072487,odi,TRUE,6,0,8,1.0
1072488,odi,TRUE,413,3,311,68.5
10727,test,TRUE,204,13,69,34.0
1073106,odi,FALSE,NA,NA,NA,NA
10739,test,TRUE,1931,71,899,321.5
1074333,odi,TRUE,12,0,22,2.0
10745,test,TRUE,192,7,75,32.0
10754,odi,TRUE,18,0,21,3.0
10754,test,TRUE,1198,56,532,199.4
1075863,odi,TRUE,6,0,9,1.0
10763,test,TRUE,1554,60,610,259.0
1076376,odi,TRUE,48,0,57,8.0
1076713,odi,TRUE,904,2,869,150.4
1076713,test,TRUE,2561,68,1519,426.5
1076722,odi,TRUE,51,0,33,8.3
10772,odi,TRUE,5186,14,4294,864.2
10772,test,TRUE,1905,51,1018,317.3
1077307,odi,TRUE,2052,36,1482,342.0
1077309,odi,FALSE,NA,NA,NA,NA
1077310,odi,FALSE,NA,NA,NA,NA
10777,test,TRUE,2438,71,1410,406.2
1078692,odi,TRUE,126,3,70,21.0
1078692,test,TRUE,156,2,79,26.0
1078695,test,FALSE,NA,NA,NA,NA
10792,test,TRUE,180,4,127,30.0
10793,odi,FALSE,NA,NA,NA,NA
10793,test,TRUE,42,3,27,7.0
1079434,odi,TRUE,54,0,54,9.0
10797,odi,TRUE,144,1,95,24.0
10797,test,TRUE,4174,220,1689,695.4
10809,odi,TRUE,84,0,35,14.0
10809,test,TRUE,648,29,277,108.0
10812,test,TRUE,658,31,297,109.4
10816,odi,TRUE,1772,18,1368,295.2
10816,test,TRUE,7678,264,3906,1279.4
10817,test,FALSE,NA,NA,NA,NA
10824,test,TRUE,903,41,327,150.3
10836,test,FALSE,NA,NA,NA,NA
10839,odi,TRUE,1282,17,913,213.4
10839,test,TRUE,3452,113,2003,575.2
10843,odi,TRUE,52,0,55,8.4
10843,test,TRUE,399,2,309,66.3
10846,odi,FALSE,NA,NA,NA,NA
10846,test,TRUE,105,0,104,17.3
10850,test,TRUE,378,13,172,63.0
10861,test,FALSE,NA,NA,NA,NA
10862,test,TRUE,1010,37,461,168.2
1086206,odi,TRUE,59,0,67,9.5
1086206,test,TRUE,240,2,162,40.0
10864,test,FALSE,NA,NA,NA,NA
10866,test,TRUE,2203,61,1150,367.1
10870,odi,FALSE,NA,NA,NA,NA
10870,test,FALSE,NA,NA,NA,NA
10881,odi,TRUE,2466,25,1743,411.0
10881,test,TRUE,4619,195,1825,769.5
10897,test,TRUE,18,0,7,3.0
10900,test,TRUE,342,32,73,57.0
1090591,odi,TRUE,78,1,76,13.0
1093091,odi,FALSE,NA,NA,NA,NA
1094444,test,TRUE,108,2,58,18.0
1096092,odi,FALSE,NA,NA,NA,NA
1096092,test,FALSE,NA,NA,NA,NA
1096833,odi,TRUE,348,3,242,58.0
1099225,odi,TRUE,48,0,44,8.0
1099225,test,TRUE,114,2,113,19.0
1099379,odi,TRUE,390,0,410,65.0
1104697,odi,TRUE,120,3,86,20.0
1104703,odi,TRUE,1107,12,813,184.3
1108375,odi,TRUE,240,0,190,40.0
1108490,test,TRUE,186,6,101,31.0
1111123,odi,TRUE,144,0,153,24.0
1111473,odi,TRUE,60,0,77,10.0
1112212,odi,TRUE,241,2,221,40.1
1112214,odi,TRUE,60,0,54,10.0
1112220,odi,TRUE,294,5,245,49.0
1112535,odi,FALSE,NA,NA,NA,NA
1112537,odi,FALSE,NA,NA,NA,NA
1112537,test,FALSE,NA,NA,NA,NA
1115025,odi,TRUE,1000,10,868,166.4
1115033,odi,TRUE,48,0,35,8.0
1119026,test,FALSE,NA,NA,NA,NA
1120355,odi,TRUE,306,9,181,51.0
1120613,odi,TRUE,12,0,13,2.0
1120613,test,TRUE,84,1,47,14.0
1122557,odi,TRUE,648,3,574,108.0
1122851,odi,TRUE,168,0,164,28.0
1122853,odi,TRUE,6,0,10,1.0
1122854,test,TRUE,572,3,462,95.2
1123428,odi,FALSE,NA,NA,NA,NA
1123718,odi,TRUE,240,0,236,40.0
1124282,odi,FALSE,NA,NA,NA,NA
1124283,odi,TRUE,426,5,392,71.0
1124290,test,FALSE,NA,NA,NA,NA
1125317,odi,TRUE,123,3,96,20.3
1125536,odi,TRUE,216,0,220,36.0
1125867,odi,TRUE,12,0,10,2.0
1125976,odi,TRUE,765,5,683,127.3
1126002,odi,FALSE,NA,NA,NA,NA
1126045,odi,FALSE,NA,NA,NA,NA
1126045,test,FALSE,NA,NA,NA,NA
1126253,odi,TRUE,449,4,382,74.5
1126694,odi,TRUE,186,3,118,31.0
1127317,odi,FALSE,NA,NA,NA,NA
1129328,odi,TRUE,6,0,8,1.0
1129635,test,TRUE,71,1,38,11.5
1131754,odi,TRUE,48,0,34,8.0
1134962,test,TRUE,252,6,176,42.0
1136106,odi,TRUE,852,11,568,142.0
1138316,odi,TRUE,2949,20,2241,491.3
1138316,test,TRUE,365,10,188,60.5
1139028,odi,TRUE,552,9,406,92.0
1139511,odi,FALSE,NA,NA,NA,NA
1139516,test,FALSE,NA,NA,NA,NA
1139520,odi,TRUE,683,5,655,113.5
1139520,test,TRUE,60,0,49,10.0
1139523,odi,TRUE,934,0,828,155.4
1141934,odi,TRUE,1136,12,825,189.2
1147414,test,FALSE,NA,NA,NA,NA
1147980,odi,TRUE,229,1,148,38.1
1148466,odi,TRUE,431,2,342,71.5
1148593,test,FALSE,NA,NA,NA,NA
1150681,odi,TRUE,198,2,146,33.0
1150684,odi,TRUE,243,2,245,40.3
1150772,odi,TRUE,60,0,48,10.0
1150772,test,TRUE,1504,30,795,250.4
1151278,odi,TRUE,6,0,3,1.0
1151278,test,TRUE,18,0,18,3.0
1151288,odi,TRUE,3,0,8,0.3
1151288,test,FALSE,NA,NA,NA,NA
1152427,odi,TRUE,1499,3,1275,249.5
1152427,test,TRUE,78,1,35,13.0
1153148,test,TRUE,411,5,263,68.3
1153767,odi,TRUE,246,1,257,41.0
1156689,odi,TRUE,344,2,335,57.2
1156690,odi,FALSE,NA,NA,NA,NA
1158088,odi,TRUE,1701,7,1555,283.3
1158088,test,TRUE,3411,85,2108,568.3
1158100,odi,TRUE,718,6,755,119.4
1158175,odi,TRUE,60,0,53,10.0
1158175,test,TRUE,624,11,406,104.0
1159495,test,TRUE,1128,24,767,188.0
1159641,odi,FALSE,NA,NA,NA,NA
1159653,odi,FALSE,NA,NA,NA,NA
1159711,odi,TRUE,156,0,125,26.0
1160970,odi,TRUE,462,8,303,77.0
1161018,odi,TRUE,90,1,78,15.0
1161022,odi,FALSE,NA,NA,NA,NA
1161031,odi,TRUE,445,2,374,74.1
