team_id,team_name,team_display_name,team_short_display_name,team_abbreviation,team_slug
211856,,,,,
252710,,,,,
2786,,,,,
364487,,,,,
41,,,,,
887,,,,,
973739,,,,,
195,ACB Chairman's XI,ACB Chairman's XI,,,acb-chairmans-xi
1010145,ACB Development Squad,ACB Development Squad,ACB-D,ACB-D,acb-development-squad
1231207,AJ Finch's XI,AJ Finch's XI,AJF,AJF,aj-finchs-xi
653,Abahani Limited,Abahani Limited,ABL,ABL,abahani-limited
2614,Abbottabad,Abbottabad,Abbot,Abbot,abbottabad
2615,Abbottabad Cricket Association Under-19s,Abbottabad Cricket Association Under-19s,,,abbottabad-cricket-association-under-19s
238534,Abbottabad Falcons,Abbottabad Falcons,Falcn,Falcn,abbottabad-falcons
3375,Aberdeenshire,Aberdeenshire,,,aberdeenshire
1241093,Abu Dhabi,Abu Dhabi,DHABI,DHABI,abu-dhabi
1346027,Abu Dhabi Knight Riders,Abu Dhabi Knight Riders,ADKR,ADKR,abu-dhabi-knight-riders
1105181,Abu Dhabi United,Abu Dhabi United,ADU,ADU,abu-dhabi-united
342154,Abu Dhabi XI,Abu Dhabi XI,,,abu-dhabi-xi
3629,Ace Capital Cricket Club,Ace Capital Cricket Club,ACCC,ACCC,ace-capital-cricket-club
509667,Adelaide Strikers,Adelaide Strikers,AS,AS,adelaide-strikers
533330,Afghan Cheetas,Afghan Cheetas,AfgC,AfgC,afghan-cheetas
819067,Afghan Wireless Cricket Club,Afghan Wireless Cricket Club,AWCC,AWCC,afghan-wireless-cricket-club
40,Afghanistan,Afghanistan,AFG,AFG,afghanistan
603606,Afghanistan A,Afghanistan A,AFG-A,AFG-A,afghanistan-a
1088912,Afghanistan Emerging Team,Afghanistan Emerging Team,AFG-E,AFG-E,afghanistan-emerging-team
467939,Afghanistan Under-16s,Afghanistan Under-16s,Afg16,Afg16,afghanistan-under-16s
228132,Afghanistan Under-19s,Afghanistan Under-19s,AFG19,AFG19,afghanistan-under-19s
1167634,Afghanistan Under-23s,Afghanistan Under-23s,AFG23,AFG23,afghanistan-under-23s
552728,Afghanistan Under-25s,Afghanistan Under-25s,AFG25,AFG25,afghanistan-under-25s
527124,Afghanistan XI,Afghanistan XI,AFGXI,AFGXI,afghanistan-xi
213709,Africa XI,Africa XI,Afr,Afr,africa-xi
2288,Aga Khan Sports Club,Aga Khan Sports Club,,,aga-khan-sports-club
3138,Agriculture Development Bank of Pakistan,Agriculture Development Bank of Pakistan,ZTBL,ZTBL,agriculture-development-bank-of-pakistan
340366,Ahmedabad Rockets,Ahmedabad Rockets,AhRkt,AhRkt,ahmedabad-rockets
1531,Air India,Air India,,,air-india
422072,Air India Blue,Air India Blue,,,air-india-blue
422070,Air India Red,Air India Red,,,air-india-red
1241091,Ajman,Ajman,AJMAN,AJMAN,ajman
1459839,Ajman Bolts,Ajman Bolts,AJB,AJB,ajman-bolts
474397,All India Electricity Board,All India Electricity Board,,,all-india-electricity-board
315514,All Stars,All Stars,,,all-stars
2616,Allied Bank,Allied Bank,,,allied-bank
1037741,Amakhosi,Amakhosi,AKOSI,AKOSI,amakhosi
347342,Americas Under-15s,Americas Under-15s,AmU15,AmU15,americas-under-15s
174,Americas Under-19s,Americas Under-19s,Am19,Am19,americas-under-19s
789649,Amo Region,Amo Region,AMOR,AMOR,amo-region
775635,Amo Sharks,Amo Sharks,AMSKS,AMSKS,amo-sharks
3484,Ananda College,Ananda College,AnaCo,AnaCo,ananda-college
1541,Andhra,Andhra,AP,AP,andhra
1524,Andhra Cricket Association XI,Andhra Cricket Association XI,,,andhra-cricket-association-xi
1545,Andhra Under-19s,Andhra Under-19s,AP19,AP19,andhra-under-19s
1547,Andhra Under-25s,Andhra Under-25s,,,andhra-under-25s
3715,Anguilla,Anguilla,ANGUI,ANGUI,anguilla
3716,Antigua,Antigua,ANTG,ANTG,antigua
642409,Antigua Hawksbills,Antigua Hawksbills,AHwks,AHwks,antigua-hawksbills
1138753,Antigua Masterblasters,Antigua Masterblasters,AMBST,AMBST,antigua-masterblasters
3718,Antigua XI,Antigua XI,,,antigua-xi
3717,Antigua and Barbuda,Antigua and Barbuda,AntgB,AntgB,antigua-and-barbuda
1428675,Antigua and Barbuda Falcons,Antigua and Barbuda Falcons,ABF,ABF,antigua-and-barbuda-falcons
3487,Antonians Sports Club,Antonians Sports Club,,,antonians-sports-club
1121918,Arabian Rangers,Arabian Rangers,AR,AR,arabian-rangers
3377,Arbroath,Arbroath,,,arbroath
21,Argentina,Argentina,ARG,ARG,argentina
218192,Argentina Under-19s,Argentina Under-19s,Arg19,Arg19,argentina-under-19s
1098941,Armed Police Force Club,Armed Police Force Club,APFC,APFC,armed-police-force-club
1298093,Asia Lions,Asia Lions,AL,AL,asia-lions
55,Asia XI,Asia XI,Asia,Asia,asia-xi
1550,Assam,Assam,ASSAM,ASSAM,assam
1553,Assam Under-16s,Assam Under-16s,,,assam-under-16s
1554,Assam Under-19s,Assam Under-19s,Asm19,Asm19,assam-under-19s
1392078,Atlanta Riders,Atlanta Riders,ATR,ATR,atlanta-riders
2629,Attock Cricket Association Under-19s,Attock Cricket Association Under-19s,,,attock-cricket-association-under-19s
2459,Auckland,Auckland,AUCK,AUCK,auckland
2460,Auckland A,Auckland A,,,auckland-a
388447,Auckland Second XI,Auckland Second XI,,,auckland-second-xi
2462,Auckland Under-17s,Auckland Under-17s,,,auckland-under-17s
2463,Auckland Under-19s,Auckland Under-19s,,,auckland-under-19s
488257,Aussie Fans XI,Aussie Fans XI,,,aussie-fans-xi
2,Australia,Australia,AUS,AUS,australia
49,Australia A,Australia A,AUS-A,AUS-A,australia-a
253077,Australia Centre of Excellence,Australia Centre of Excellence,ACOE,ACOE,australia-centre-of-excellence
227,Australia Masters,Australia Masters,AUS-M,AUS-M,australia-masters
1076360,Australia Under-16s,Australia Under-16s,AUS16,AUS16,australia-under-16s
233,Australia Under-19s,Australia Under-19s,AUS19,AUS19,australia-under-19s
197,Australian Capital Territory,Australian Capital Territory,ACT,ACT,australian-capital-territory
202,Australian Capital Territory Under-17s,Australian Capital Territory Under-17s,ACT,ACT,australian-capital-territory-under-17s
204,Australian Capital Territory Under-19s,Australian Capital Territory Under-19s,ACT19,ACT19,australian-capital-territory-under-19s
221,Australian Combined Universities,Australian Combined Universities,AustU,AustU,australian-combined-universities
216,Australian Cricket Academy,Australian Cricket Academy,,,australian-cricket-academy
284352,Australian Cricketers Association All-Stars,Australian Cricketers Association All-Stars,,,australian-cricketers-association-all-stars
376119,Australian Cricketers Association Masters,Australian Cricketers Association Masters,ACAM,ACAM,australian-cricketers-association-masters
210,Australian Institute of Sport,Australian Institute of Sport,AIS,AIS,australian-institute-of-sport
240,Australian XI,Australian XI,AUSXI,AUSXI,australian-xi
651,Austria Under-17s,Austria Under-17s,,,austria-under-17s
626264,Azeem Rafiq's XI,Azeem Rafiq's XI,AzRaf,AzRaf,azeem-rafiqs-xi
1382905,B-Love Kandy,B-Love Kandy,BLK,BLK,b-love-kandy
