team_id,team_name,team_display_name,team_short_display_name,team_abbreviation,team_slug,team_color,team_logo_url,fetch_status
63,Bulgaria,Bulgaria,BUL,BUL,bulgaria,,https://a.espncdn.com/i/teamlogos/cricket/500/63.png,fetched
22,Israel,Israel,ISR,ISR,israel,,https://a.espncdn.com/i/teamlogos/cricket/500/22.png,fetched
60,Bahamas,Bahamas,BHM,BHM,bahamas,,https://a.espncdn.com/i/teamlogos/cricket/500/60.png,fetched
154,Switzerland,Switzerland,SUI,SUI,switzerland,,https://a.espncdn.com/i/teamlogos/cricket/500/154.png,fetched
86,Greece,Greece,GRC,GRC,greece,,https://a.espncdn.com/i/teamlogos/cricket/500/86.png,fetched
5,New Zealand,New Zealand,NZ,NZ,new-zealand,#b7c0c8,https://a.espncdn.com/i/teamlogos/cricket/500/5.png,fetched
2459,Auckland,Auckland,AUCK,AUCK,auckland,#11088c,https://a.espncdn.com/i/teamlogos/cricket/500/2459.png,fetched
2560,New Zealand Under-19s,New Zealand Under-19s,NZ19,NZ19,new-zealand-under-19s,,https://a.espncdn.com/i/teamlogos/cricket/500/2560.png,fetched
75,Czech Republic,Czech Republic,CZK-R,CZK-R,czech-republic,,https://a.espncdn.com/i/teamlogos/cricket/500/75.png,fetched
4,West Indies,West Indies,WI,WI,west-indies,#790d1a,https://a.espncdn.com/i/teamlogos/cricket/500/4.png,fetched
642411,Barbados Royals,Barbados Royals,BR,BR,barbados-royals,#f40bec,https://a.espncdn.com/i/teamlogos/cricket/500/642411.png,fetched
857687,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,STKNP,STKNP,st-kitts-and-nevis-patriots,#e90c0c,https://a.espncdn.com/i/teamlogos/cricket/500/857687.png,fetched
3800,West Indies A,West Indies A,WI-A,WI-A,west-indies-a,,https://a.espncdn.com/i/teamlogos/cricket/500/3800.png,fetched
3801,West Indies B,West Indies B,WI-B,WI-B,west-indies-b,,https://a.espncdn.com/i/teamlogos/cricket/500/3801.png,fetched
3812,West Indies Under-19s,West Indies Under-19s,WI19,WI19,west-indies-under-19s,,https://a.espncdn.com/i/teamlogos/cricket/500/3812.png,fetched
160,Tanzania,Tanzania,TAN,TAN,tanzania,,https://a.espncdn.com/i/teamlogos/cricket/500/160.png,fetched
