cricinfo_id,unique_player_id,final_player_name,source_country_text
1203910,1203910,A Ahmadhel,BUL
1321182,1321182,A Amado,ISR
1540559,1540559,A Amburose,BHM
1135751,1135751,A Andrews,SUI
1203917,1203917,A Anemogiannis,GRC
1193546,1193546,A Ashok,NZ
1156472,1156472,A Ashokan,CZK-R
1203922,1203922,A Aspiotis,GRC
1078692,1078692,A Athanaze,WI
1492934,1492934,A Augastin,TAN
1500607,1500607,A Awasthi,CRT
44026,44026,A Bacher,SA
23797,23797,A Bagai,CAN
303423,303423,A Balbirnie,IRE
1497610,1497610,A Beresford-Peirse,CRT
1263722,1263722,A Bhadauria,LUX
1134974,1134974,A Bhagwat,HKG
26896,26896,A Bhandari,IND
1329941,1329941,A Bhargava,SGP
233409,233409,A Bhattarai,NEP
1268920,1268920,A Bishnoi,MLT
1058508,1058508,A Bohara,NEP
9249,9249,A Brown,ENG
1476253,1476253,A Brownlee,Falk
417263,417263,A Bulow,DEN
526120,526120,A Bushell,GUE
1234278,1234278,A Busing-Volschenk,NAM
1203238,1203238,A Carthew,Chile
1445726,1445726,A Chaubey,CRT
1329997,1329997,A Chaudhary,SGP
1480306,1480306,A Chenthamara,KUW
27639,27639,A Chopra,IND
23848,23848,A Codrington,CAN
4611,4611,A Coningham,AUS
346649,346649,A Conteh,GMB
4632,4632,A Cotter,AUS
10850,10850,A Coxon,ENG
1514454,1514454,A Curavic,CRT
40041,40041,A D'Souza,PAK
574178,574178,A Dananjaya,SL
1445612,1445612,A Davidson Soler,ESP
1476266,1476266,A Dawson,Falk
1382802,1382802,A Daxini,CRT
1343338,1343338,A Denuwan,ITA
1441681,1441681,A Desai,USA
1489796,1489796,A Dhabe,SWE
1489664,1489664,A Dhar,CAY
1275733,1275733,A Dhingra,LUX
1321221,1321221,A Dizija,SRB
1203881,1203881,A Djorovic,SRB
11919,11919,A Dolphin,ENG
1451387,1451387,A Donovan,PHI
1447949,1447949,A Dowling,BUL
11943,11943,A Ducat,ENG
1195672,1195672,A Dutt,NED
1382804,1382804,A Faletar,CRT
23583,23583,A Ferguson,ARG
12835,12835,A Fielder,ENG
12856,12856,A Flintoff,ENG/ICC
12856,12856,A Flintoff,ENG
55427,55427,A Flower,ZIM
1434875,1434875,A Gall,HUN
28772,28772,A Gandotra,IND
1323409,1323409,A Gasteratos,GRC
1197883,1197883,A Gavde,CAY
516372,516372,A Gbla,SLE
1068980,1068980,A Gorawara,HKG
366594,366594,A Govorko,CRT
13451,13451,A Greenwood,ENG
364128,364128,A Gulati,BHM
1489352,1489352,A Gupta,NOR
13985,13985,A Habib,ENG
1275734,1275734,A Halbhavi,LUX
1275725,1275725,A Harikumar,BUL
1287100,1287100,A Harris,BHM
14129,14129,A Hearne,ENG
14197,14197,A Hill,ENG
