cricinfo_id,unique_player_id,final_player_name,source_country_text
10772,10772,PD Collingwood,ENG
10772,10772,PD Collingwood,ENG/World
1139028,1139028,K Gore,USA
1139028,1139028,K Gore,USA/WI
1148593,1148593,EN Gay,ENG
1148593,1148593,EN Gay,ITA
12461,12461,JW Dernbach,ENG
12461,12461,JW Dernbach,ENG/ITA
12856,12856,A Flintoff,ENG/ICC
12856,12856,A Flintoff,ENG
13411,13411,D Gough,ENG
13411,13411,D Gough,ENG/ICC
14020,14020,GM Hamilton,ENG
14020,14020,GM Hamilton,SCOT
14054,14054,SJ Harmison,ENG/ICC
14054,14054,SJ Harmison,ENG
15501,15501,GO Jones,ENG
15501,15501,GO Jones,ENG/PNG
19296,19296,KP Pietersen,ENG
19296,19296,KP Pietersen,ENG/ICC
230371,230371,BCJ Cutting,AUS
230371,230371,BCJ Cutting,AUS/World
232438,232438,GS Ballance,ENG/ZIM
232438,232438,GS Ballance,ZIM
233514,233514,NLTC Perera,SL
233514,233514,NLTC Perera,ICC/SL/World
23911,23911,A Khan,ENG
23911,23911,A Khan,DEN/ENG
24249,24249,EC Joyce,IRE
24249,24249,EC Joyce,ENG/IRE
24598,24598,EJG Morgan,ENG
24598,24598,EJG Morgan,ENG/IRE
24705,24705,TM Odoyo,Afr/KENYA
24705,24705,TM Odoyo,KENYA
24728,24728,SO Tikolo,Afr/KENYA
24728,24728,SO Tikolo,KENYA
24762,24762,PJ Ongondo,Afr/KENYA
24762,24762,PJ Ongondo,KENYA
25635,25635,CB Lambert,WI
25635,25635,CB Lambert,USA/WI
277662,277662,CJ Anderson,NZ
277662,277662,CJ Anderson,NZ/USA
280490,280490,JT Smuts,SA
280490,280490,JT Smuts,ITA/SA
28081,28081,MS Dhoni,IND
28081,28081,MS Dhoni,Asia/IND
28114,28114,R Dravid,ICC/IND
28114,28114,R Dravid,Asia/ICC/IND
28114,28114,R Dravid,IND
28779,28779,SC Ganguly,IND
28779,28779,SC Ganguly,Asia/IND
29264,29264,Harbhajan Singh,IND
29264,29264,Harbhajan Singh,Asia/IND
297628,297628,SW Billings,ENG
297628,297628,SW Billings,ENG/ICC
30045,30045,KD Karthik,IND
30045,30045,KD Karthik,ICC/IND
30102,30102,Z Khan,IND
30102,30102,Z Khan,Asia/IND
30176,30176,A Kumble,IND
30176,30176,A Kumble,Asia/IND
31820,31820,A Nehra,IND
31820,31820,A Nehra,Asia/IND
319439,319439,MJ McClenaghan,NZ
319439,319439,MJ McClenaghan,ICC/NZ
321777,321777,DA Miller,SA
321777,321777,DA Miller,SA/World
326632,326632,JA Burns,AUS
326632,326632,JA Burns,ITA
333000,333000,PJ Moor,IRE/ZIM
333000,333000,PJ Moor,ZIM
348129,348129,NR Kumar,CAN
348129,348129,NR Kumar,CAN/USA
35263,35263,V Sehwag,ICC/IND
35263,35263,V Sehwag,Asia/ICC/IND
35263,35263,V Sehwag,IND
36084,36084,Yuvraj Singh,IND
36084,36084,Yuvraj Singh,Asia/IND
36597,36597,CL Cairns,NZ
36597,36597,CL Cairns,ICC/NZ
