cricinfo_id,unique_player_id,final_player_name,source_country_text,espn_profile_found,espn_full_name,espn_display_name,espn_first_name,espn_last_name,espn_date_of_birth,espn_is_active,espn_active_status,standard_batting_code,standard_batting_style,standard_bowling_code,standard_bowling_style,espn_playing_role,espn_playing_role_id,espn_country_name,espn_major_teams
1203910,1203910,A Ahmadhel,BUL,True,Agagyul Ahmadhel,Agagyul Ahmadhel,Agagyul,Ahmadhel,2001-06-01,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Bulgaria,Bulgaria
1321182,1321182,A Amado,ISR,True,Abraham Amado,Abraham Amado,Abraham,Amado,1994-06-02,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Israel,Israel
1540559,1540559,A Amburose,BHM,True,Ahil Amburose,Ahil Amburose,Ahil,Amburose,1993-03-05,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Bahamas,Bahamas
1135751,1135751,A Andrews,SUI,True,Aidan Andrews,Aidan Andrews,Aidan,Andrews,1998-06-02,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Switzerland,Switzerland
1203917,1203917,A Anemogiannis,GRC,True,Alexandros Anemogiannis,Alexandros Anemogiannis,Alexandros,Anemogiannis,1974-02-20,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Greece,Greece
1193546,1193546,A Ashok,NZ,True,Adithya Ashok,Adithya Ashok,Adithya,Ashok,2002-09-05,True,active,RHB,Right Hand Bat,LBG,Leg Break Googly,Bowler,BL,New Zealand,New Zealand|Auckland|New Zealand Under-19s
1156472,1156472,A Ashokan,CZK-R,True,Arun Ashokan,Arun Ashokan,Arun,Ashokan,1993-02-27,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Czech Republic,Czech Republic
1203922,1203922,A Aspiotis,GRC,True,Alexandros Aspiotis,Alexandros Aspiotis,Alexandros,Aspiotis,1988-02-25,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Greece,Greece
1078692,1078692,A Athanaze,WI,True,Alick Athanaze,Alick Athanaze,Alick,Athanaze,1998-12-07,True,active,LHB,Left Hand Bat,OB,Right Arm Off Break,Top-order batter,TBT,West Indies,West Indies|Barbados Royals|St Kitts and Nevis Patriots|West Indies A|West Indies B|West Indies Under-19s
1492934,1492934,A Augastin,TAN,True,Ajith Augastin,Ajith Augastin,Ajith,Augastin,1995-11-25,True,active,LHB,Left Hand Bat,RM,Right Arm Medium,Unknown,UKN,Tanzania,Tanzania
1500607,1500607,A Awasthi,CRT,True,Abhishek Awasthi,Abhishek Awasthi,Abhishek,Awasthi,1985-01-01,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Croatia,Croatia
44026,44026,A Bacher,SA,True,Aron Bacher,Ali Bacher,Ali,Bacher,1942-05-24,False,inactive,RHB,Right Hand Bat,LB,Leg Break,Unknown,UKN,South Africa,South Africa|Gauteng
23797,23797,A Bagai,CAN,True,Ashish Bagai,Ashish Bagai,Ashish,Bagai,1982-01-26,True,active,RHB,Right Hand Bat,,,Wicketkeeper batter,WBT,Canada,Canada
303423,303423,A Balbirnie,IRE,True,Andrew Balbirnie,Andy Balbirnie,Andy,Balbirnie,1990-12-28,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Batter,BT,Ireland,Ireland|Cardiff Marylebone Cricket Club University|Glamorgan|Ireland A|Ireland Under-13s|Ireland Under-15s|Ireland Under-17s|Ireland Under-19s|Khulna Tigers|Leinster Lightning|Marylebone Cricket Club Young Cricketers|Middlesex|Middlesex 2nd XI
1497610,1497610,A Beresford-Peirse,CRT,True,Alfred Beresford-Peirse,Alfred Beresford-Peirse,Alfred,Beresford-Peirse,2008-10-22,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Croatia,Croatia
1263722,1263722,A Bhadauria,LUX,True,Anshuman Bhadauria Singh,Anshuman Bhadauria,Anshuman,Bhadauria,1986-09-08,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Luxembourg,Luxembourg
1134974,1134974,A Bhagwat,HKG,True,Aarush Bhagwat,Aarush Bhagwat,Aarush,Bhagwat,2003-09-12,True,active,RHB,Right Hand Bat,,,Wicketkeeper,WK,Hong Kong,Hung Hom Jaguars
26896,26896,A Bhandari,IND,True,Amit Bhandari,Amit Bhandari,Amit,Bhandari,1978-10-01,True,active,RHB,Right Hand Bat,RFM,Right Arm Fast Medium,Unknown,UKN,India,India|Delhi
1329941,1329941,A Bhargava,SGP,True,Adwitya Bhargava,Adwitya Bhargava,Adwitya,Bhargava,2006-01-06,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Singapore,Singapore
233409,233409,A Bhattarai,NEP,True,Amrit Bhattarai,Amrit Bhattarai,Amrit,Bhattarai,1990-12-30,True,active,RHB,Right Hand Bat,LM,Left Arm Medium,Bowler,BL,Nepal,Nepal|Nepal Under-19s
1268920,1268920,A Bishnoi,MLT,True,Ashok Bishnoi,Ashok Bishnoi,Ashok,Bishnoi,1988-02-19,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Malta,Malta
1058508,1058508,A Bohara,NEP,True,Abinash Bohara,Abinash Bohara,Abinash,Bohara,1997-07-30,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Bowler,BL,Nepal,Nepal|Armed Police Force Club|Bhairahawa Gladiators|Butwal Blasters|Kantipur Gurkhas
9249,9249,A Brown,ENG,True,Alan Brown,Alan Brown,Alan,Brown,1935-10-17,False,inactive,RHB,Right Hand Bat,RFM,Right Arm Fast Medium,Unknown,UKN,England,England|Kent
1476253,1476253,A Brownlee,Falk,True,Andrew Brownlee,Andrew Brownlee,Andrew,Brownlee,1962-10-16,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Falkland Islands,Falkland Islands
417263,417263,A Bulow,DEN,True,Anders Bulow,Anders Bulow,Anders,Bulow,1994-07-14,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Denmark,Denmark Under-15s|Denmark Under-17s
526120,526120,A Bushell,GUE,True,Alex Bushell,Alex Bushell,Alex,Bushell,1997-03-20,True,active,RHB,Right Hand Bat,,,Unknown,UKN,Guernsey,Guernsey|Guernsey Under-15s
1234278,1234278,A Busing-Volschenk,NAM,True,Alexander Busing-Volschenk,Alexander Busing-Volschenk,Alexander,Busing-Volschenk,2005-06-20,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Allrounder,AR,Namibia,Namibia|BA Blasting|Namibia Under-19s
1203238,1203238,A Carthew,Chile,True,Alex Carthew,Alex Carthew,Alex,Carthew,1985-08-30,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,Chile,Chile
1445726,1445726,A Chaubey,CRT,True,Aman Chaubey,Aman Chaubey,Aman,Chaubey,2001-04-04,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Croatia,Croatia
1329997,1329997,A Chaudhary,SGP,True,Aryaveer Chaudhary,Aryaveer Chaudhary,Aryaveer,Chaudhary,2006-06-02,True,active,LHB,Left Hand Bat,LM,Left Arm Medium,Unknown,UKN,Singapore,Singapore
1480306,1480306,A Chenthamara,KUW,True,Anudeep Chenthamara,Anudeep Chenthamara,Anudeep,Chenthamara,1999-04-28,True,active,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Bowler,BL,Kuwait,Kuwait|Dubai Capitals
27639,27639,A Chopra,IND,True,Aakash Chopra,Aakash Chopra,Aakash,Chopra,1977-09-19,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Batter,BT,India,India|Delhi|Himachal Pradesh|Kolkata Knight Riders|Marylebone Cricket Club|Rajasthan|Rajasthan Royals
