cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5,10
49636,49636,M Muralidaran,Asia/ICC/SL,M Muralidaran (Asia/ICC/SL),1993-2011,350,341,18811,NA,NA,12326,534,7/30,NA,23.08,3.93,35.2,15,10,NA
43547,43547,Wasim Akram,PAK,Wasim Akram (PAK),1984-2003,356,351,18186,NA,NA,11812,502,5/15,NA,23.52,3.89,36.2,17,6,NA
43543,43543,Waqar Younis,PAK,Waqar Younis (PAK),1989-2003,262,258,12698,NA,NA,9919,416,7/36,NA,23.84,4.68,30.5,14,13,NA
50804,50804,WPUJC Vaas,Asia/SL,WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,NA,NA,11014,400,8/19,NA,27.53,4.18,39.4,9,4,NA
42639,42639,Shahid Afridi,Asia/ICC/PAK,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,NA,NA,13632,395,7/12,NA,34.51,4.62,44.7,4,9,NA
46774,46774,SM Pollock,Afr/ICC/SA,SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,NA,NA,9631,393,6/35,NA,24.5,3.67,39.9,12,5,NA
6565,6565,GD McGrath,AUS/ICC,GD McGrath (AUS/ICC),1993-2007,250,248,12970,NA,NA,8391,381,7/15,NA,22.02,3.88,34,9,7,NA
6278,6278,B Lee,AUS,B Lee (AUS),2000-2012,221,217,11185,NA,NA,8877,380,5/22,NA,23.36,4.76,29.4,14,9,NA
49758,49758,SL Malinga,SL,SL Malinga (SL),2004-2019,226,220,10936,NA,NA,9760,338,6/38,NA,28.87,5.35,32.3,11,8,NA
30176,30176,A Kumble,Asia/IND,A Kumble (Asia/IND),1990-2007,271,265,14496,NA,NA,10412,337,6/12,NA,30.89,4.3,43,8,2,NA
49209,49209,ST Jayasuriya,Asia/SL,ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,NA,NA,11871,323,6/29,NA,36.75,4.78,46,8,4,NA
56143,56143,Shakib Al Hasan,BAN,Shakib Al Hasan (BAN),2006-2023,247,241,12575,NA,NA,9360,317,5/29,NA,29.52,4.46,39.6,10,4,NA
34105,34105,J Srinath,IND,J Srinath (IND),1991-2003,229,227,11935,NA,NA,8847,315,5/23,NA,28.08,4.44,37.8,7,3,NA
38710,38710,DL Vettori,ICC/NZ,DL Vettori (ICC/NZ),1997-2015,295,277,14060,NA,NA,9674,305,5/7,NA,31.71,4.12,46,8,2,NA
8166,8166,SK Warne,AUS/ICC,SK Warne (AUS/ICC),1993-2005,194,191,10642,NA,NA,7541,293,5/33,NA,25.73,4.25,36.3,12,1,NA
26184,26184,AB Agarkar,IND,AB Agarkar (IND),1998-2007,191,188,9484,NA,NA,8021,288,6/42,NA,27.85,5.07,32.9,10,2,NA
