cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
348144,348144,Babar Azam,PAK,Babar Azam (PAK),2016-2026,145,136,18,4596,122,38.94,3590,128.02,3,39,10,477,80
34102,34102,RG Sharma,IND,RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
253802,253802,V Kohli,IND,V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
308967,308967,JC Buttler,ENG,JC Buttler (ENG),2011-2026,156,143,23,4037,101*,33.64,2732,147.76,1,28,10,373,175
303427,303427,PR Stirling,IRE,PR Stirling (IRE),2009-2026,163,160,12,3895,115*,26.31,2899,134.35,1,24,14,449,141
226492,226492,MJ Guptill,NZ,MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
323389,323389,Mohammad Rizwan,PAK,Mohammad Rizwan (PAK),2015-2024,106,93,21,3414,104*,47.41,2723,125.37,1,30,5,285,95
1241277,1241277,Muhammad Waseem,UAE,Muhammad Waseem (UAE),2021-2026,99,99,6,3371,112,36.24,2233,150.96,3,26,7,282,196
633660,633660,Virandeep Singh,MAS,Virandeep Singh (MAS),2019-2026,122,114,21,3370,116*,36.23,2639,127.69,1,23,8,294,138
219889,219889,DA Warner,AUS,DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
446507,446507,SA Yadav,IND,SA Yadav (IND),2021-2026,113,107,17,3272,117,36.35,2008,162.94,4,25,7,297,179
5334,5334,AJ Finch,AUS,AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
379143,379143,Q de Kock,SA,Q de Kock (SA),2012-2026,110,109,9,3095,115,30.95,2176,142.23,2,19,10,313,133
299572,299572,Sikandar Raza,ZIM,Sikandar Raza (ZIM),2013-2026,133,128,12,3089,133*,26.62,2256,136.92,1,17,9,239,146
868003,868003,Syed Aziz,MAS,Syed Aziz (MAS),2019-2026,128,119,19,3027,126,30.27,2163,139.94,1,22,8,266,157
325026,325026,GJ Maxwell,AUS,GJ Maxwell (AUS),2012-2026,130,118,18,2897,145*,28.97,1876,154.42,5,12,5,243,150
321777,321777,DA Miller,SA/World,DA Miller (SA/World),2010-2026,140,123,40,2804,106*,33.78,1983,141.4,2,9,3,184,141
536936,536936,Litton Das,BAN,Litton Das (BAN),2015-2026,122,120,5,2702,83,23.49,2131,126.79,0,16,6,263,83
