cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5,10
793463,793463,Rashid Khan,AFG/ICC,Rashid Khan (AFG/ICC),2015-2026,115,115,NA,438.2,2,2650,193,5/3,NA,13.73,6.04,13.6,9,2,NA
559066,559066,IS Sodhi,NZ,IS Sodhi (NZ),2014-2026,142,135,NA,465.2,0,3798,165,4/12,NA,23.01,8.16,16.9,4,0,NA
244497,244497,AU Rashid,ENG,AU Rashid (ENG),2009-2026,146,139,NA,510,5,3828,164,4/2,NA,23.34,7.5,18.6,4,0,NA
232364,232364,TG Southee,NZ,TG Southee (NZ),2008-2024,126,123,NA,458.5,7,3671,164,5/18,NA,22.38,8,16.7,2,2,NA
784379,784379,PW Hasaranga,SL,PW Hasaranga (SL),2019-2026,98,96,NA,364,2,2560,161,4/9,NA,15.9,7.03,13.5,5,0,NA
330902,330902,Mustafizur Rahman,BAN,Mustafizur Rahman (BAN),2015-2026,128,127,NA,462,8,3363,160,6/10,NA,21.01,7.27,17.3,3,2,NA
379504,379504,A Zampa,AUS,A Zampa (AUS),2016-2026,118,115,NA,423.1,2,3113,153,5/19,NA,20.34,7.35,16.5,5,1,NA
40082,40082,Ehsan Khan,HKG,Ehsan Khan (HKG),2016-2026,111,109,NA,393.3,6,2432,152,4/5,NA,16,6.18,15.5,8,0,NA
56143,56143,Shakib Al Hasan,BAN,Shakib Al Hasan (BAN),2006-2024,129,126,NA,457.3,3,3117,149,5/20,NA,20.91,6.81,18.4,6,2,NA
526441,526441,MR Adair,IRE,MR Adair (IRE),2019-2026,100,100,NA,359.3,3,2812,142,4/13,NA,19.8,7.82,15.1,4,0,NA
960361,960361,S Lamichhane,ICC/NEP,S Lamichhane (ICC/NEP),2018-2026,78,78,NA,294.4,11,1812,142,5/9,NA,12.76,6.14,12.4,3,2,NA
502714,502714,MJ Santner,NZ,MJ Santner (NZ),2015-2026,138,133,NA,472,3,3387,142,4/11,NA,23.85,7.17,19.9,3,0,NA
1344829,1344829,Rizwan Butt,BHR,Rizwan Butt (BHR),2022-2026,93,92,NA,331.5,8,2263,139,6/9,NA,16.28,6.81,14.3,3,4,NA
1072470,1072470,Shaheen Shah Afridi,PAK,Shaheen Shah Afridi (PAK),2018-2026,103,103,NA,370.3,3,2904,136,4/22,NA,21.35,7.83,16.3,3,0,NA
1161606,1161606,Haris Rauf,PAK,Haris Rauf (PAK),2020-2025,94,92,NA,334.5,2,2807,133,4/18,NA,21.1,8.38,15.1,5,0,NA
1125976,1125976,Arshdeep Singh,IND,Arshdeep Singh (IND),2022-2026,87,85,NA,301.2,2,2565,131,5/51,NA,19.58,8.51,13.8,2,1,NA
1203754,1203754,Junaid Siddique,UAE,Junaid Siddique (UAE),2019-2026,91,91,NA,335.3,3,2562,126,5/35,NA,20.33,7.63,15.9,5,1,NA
308515,308515,SO Ngoche,KENYA,SO Ngoche (KENYA),2010-2026,109,105,NA,360.4,15,2103,125,4/14,NA,16.82,5.83,17.3,3,0,NA
633660,633660,Virandeep Singh,MAS,Virandeep Singh (MAS),2019-2026,122,100,NA,315.3,10,1686,125,4/5,NA,13.48,5.34,15.1,4,0,NA
420490,420490,H Ssenyondo,UGA,H Ssenyondo (UGA),2019-2025,95,91,NA,320.1,11,1681,124,5/8,NA,13.55,5.25,15.4,7,1,NA
