cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
379143,379143,Q de Kock,SA,Q de Kock (SA),2012-2026,110,110,117,98,19,98,0,4 (4ct 0st),1.063
308967,308967,JC Buttler,ENG,JC Buttler (ENG),2011-2026,156,154,109,89,20,79,10,3 (3ct 0st),0.707
536936,536936,Litton Das,BAN,Litton Das (BAN),2015-2026,122,120,94,79,15,49,30,5 (4ct 1st),0.783
1155597,1155597,D Ndikubwimana,RWN,D Ndikubwimana (RWN),2021-2026,104,103,93,78,15,74,4,4 (4ct 0st),0.902
348016,348016,IA Karim,KENYA,IA Karim (KENYA),2013-2026,69,67,92,66,26,64,2,5 (5ct 0st),1.373
28081,28081,MS Dhoni,IND,MS Dhoni (IND),2006-2019,98,97,91,57,34,57,0,5 (5ct 0st),0.938
321777,321777,DA Miller,SA/World,DA Miller (SA/World),2010-2026,140,140,88,87,1,1,86,4 (4ct 0st),0.628
25913,25913,Mohammad Nabi,AFG,Mohammad Nabi (AFG),2010-2026,152,152,82,82,0,0,82,3 (3ct 0st),0.539
1127317,1127317,SA Edwards,NED,SA Edwards (NED),2018-2026,86,85,80,69,11,69,0,3 (3ct 0st),0.941
348034,348034,GH Dockrell,IRE,GH Dockrell (IRE),2010-2026,159,156,77,77,0,0,77,3 (3ct 0st),0.493
1241277,1241277,Muhammad Waseem,UAE,Muhammad Waseem (UAE),2021-2026,99,99,76,76,0,0,76,3 (3ct 0st),0.767
633638,633638,S Muniandy,MAS,S Muniandy (MAS),2019-2026,122,120,76,76,0,0,76,3 (3ct 0st),0.633
928057,928057,LJ Tucker,IRE,LJ Tucker (IRE),2016-2026,93,93,74,63,11,53,10,3 (3ct 0st),0.795
44936,44936,AB de Villiers,SA,AB de Villiers (SA),2006-2017,78,78,72,65,7,21,44,4 (4ct 0st),0.923
56029,56029,Mushfiqur Rahim,BAN,Mushfiqur Rahim (BAN),2006-2022,102,100,72,42,30,32,10,3 (1ct 2st),0.72
604302,604302,N Pooran,WI,N Pooran (WI),2016-2024,106,101,71,63,8,53,10,3 (3ct 0st),0.702
596664,596664,ZE Green,NAM,ZE Green (NAM),2019-2026,81,80,70,62,8,60,2,4 (4ct 0st),0.875
1082736,1082736,Ahmad Ramdoni,INA,Ahmad Ramdoni (INA),2022-2025,81,81,69,59,10,59,0,4 (4ct 0st),0.851
348144,348144,Babar Azam,PAK,Babar Azam (PAK),2016-2026,145,144,68,68,0,0,68,3 (3ct 0st),0.472
226492,226492,MJ Guptill,NZ,MJ Guptill (NZ),2009-2022,122,121,68,68,0,0,68,3 (3ct 0st),0.561
323389,323389,Mohammad Rizwan,PAK,Mohammad Rizwan (PAK),2015-2024,106,106,67,55,12,47,8,3 (3ct 0st),0.632
961407,961407,HT Tector,IRE,HT Tector (IRE),2019-2026,100,100,66,66,0,0,66,4 (4ct 0st),0.66
417268,417268,MH Cross,SCOT,MH Cross (SCOT),2013-2026,89,86,65,49,16,49,0,4 (3ct 1st),0.755
